deliverableId,claimId,jsonPath,kind,status,attributionHint,inExpectedSourceFile,bestScore,topEvidenceFile,text
"brief","brief:0:$.tagline","$.tagline","narrative","supported","","","0.638","research/outputs/00_master_corpus.txt","Reactive buyers and documented billing pain point to higher ed and proactive push intelligence—but recovery proof and IT gates must be closed before May."
"brief","brief:1:$.leadStatement","$.leadStatement","narrative","supported","","","0.527","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","Primary and secondary research align: commercial energy buyers are reactive, billing errors are structurally real, finance and ops need different surfaces, regulatory intelligence is white space, and Arcadia’s window is real but finite. John and Dan should walk out knowing the beachhead is higher education with Rate Analyst’s regulatory layer as first engineering priority — and that one documented dollar recovered matters more than aggregate identified-error dollars for fundraise and enterprise credibility."
"brief","brief:2:$.tldrBullets[0]","$.tldrBullets[0]","tldr","supported","","","0.68","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","Research aligns: reactive buyers, real billing pain, a structural finance ↔ ops split, and regulatory intel as white space."
"brief","brief:3:$.tldrBullets[1]","$.tldrBullets[1]","tldr","supported","","","0.68","research/outputs/synthesis/00_decision_brief.md","Beachhead is higher education; first engineering priority is the regulatory layer inside Rate Analyst."
"brief","brief:4:$.tldrBullets[2]","$.tldrBullets[2]","tldr","supported","","","0.618","research/outputs/synthesis/00_decision_brief.md","One documented dollar recovered beats aggregate “identified error” totals for fundraise and enterprise credibility."
"brief","brief:5:$.tldrBullets[3]","$.tldrBullets[3]","tldr","supported","","","0.464","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","Arcadia’s distraction window is real but finite — don’t confuse migration lag with a permanent moat."
"brief","brief:6:$.proofs[0].oneLiner","$.proofs[0].oneLiner","headline","supported","Don Johnson · Trane Technologies","false","0.567","research/outputs/00_master_corpus.txt","Reactive operations are the norm across verticals; the product must proactively find users with prioritized signals."
"brief","brief:7:$.proofs[0].evidence","$.proofs[0].evidence","evidence_line","supported","Don Johnson · Trane Technologies","false","0.688","research/outputs/synthesis/00_decision_brief.md","Primary: Trane (Johnson, Combs), Texas State, Panda, Medxcel. Secondary: EnergyCAP 2026 survey (76% expect rising costs yet reactive); McMorrow deferred maintenance."
"brief","brief:8:$.proofs[0].quote","$.proofs[0].quote","quote","supported","Don Johnson · Trane Technologies","true","0.85","research/Call Transcripts/CC_Research_Don_Johnson_Trane_Transcript.docx","Most customers are still reactive… even hospitals."
"brief","brief:9:$.proofs[1].headline","$.proofs[1].headline","headline","supported","Marc Spieler · NVIDIA","false","0.85","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","Billing errors are documented, persistent, and material"
"brief","brief:10:$.proofs[1].oneLiner","$.proofs[1].oneLiner","headline","supported","Marc Spieler · NVIDIA","false","0.425","research/outputs/00_master_corpus.txt","Enforcement and case law show misbilling at scale; interviews show 10× multipliers, vacated-site pay, baseline drift."
"brief","brief:11:$.proofs[1].evidence","$.proofs[1].evidence","evidence_line","supported","Marc Spieler · NVIDIA","false","0.691","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","Secondary: FERC ($108M FirstEnergy), RI PUC (83% exceptions still billed), Harvard Law asymmetry. Primary: Chamberlain, Czubkowski, Goldstein."
"brief","brief:12:$.proofs[1].quote","$.proofs[1].quote","quote","supported","Marc Spieler · NVIDIA","false","0.719","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","Have utilities actually issued refunds based on errors Clear Current found, or is the savings still theoretical on paper?"
"brief","brief:13:$.proofs[2].headline","$.proofs[2].headline","headline","supported","Andee Chamberlain · Texas State University","false","0.85","research/outputs/synthesis/D7_Investor_Narrative_and_Pitch_Framework.md","The finance ↔ ops split is structural"
"brief","brief:14:$.proofs[2].oneLiner","$.proofs[2].oneLiner","headline","supported","Andee Chamberlain · Texas State University","false","0.496","research/outputs/00_master_corpus.txt","Two independent institutions name the same divide: ops cares usage, finance cares bottom line."
"brief","brief:15:$.proofs[2].evidence","$.proofs[2].evidence","evidence_line","supported","Andee Chamberlain · Texas State University","false","0.744","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","Primary: Andee Chamberlain (Texas State), Andi Ault (UT Austin). Secondary: 132 G2/Capterra EnergyCAP reviews flag chargeback weakness."
"brief","brief:16:$.proofs[2].quote","$.proofs[2].quote","quote","supported","Andee Chamberlain · Texas State University","true","0.85","research/Call Transcripts/CC_Research_Texas_State_Transcript.docx","I care more about demand and usage... the bill processing folks care more about the bottom line."
